timestamp,open,high,low,close,volume
2023-01-01T00:00:00Z,101.94,102.29,101.59,101.94,10000
2023-01-02T00:00:00Z,101.94,103.92,101.52,103.50,10137
2023-01-03T00:00:00Z,103.50,105.53,103.01,105.05,10274
2023-01-04T00:00:00Z,105.05,107.16,104.48,106.59,10411
2023-01-05T00:00:00Z,106.59,108.77,105.97,108.14,10548
2023-01-06T00:00:00Z,108.14,110.04,107.80,109.69,10685
2023-01-07T00:00:00Z,109.69,111.67,109.27,111.25,10822
2023-01-08T00:00:00Z,111.25,113.28,110.76,112.80,10959
2023-01-09T00:00:00Z,112.80,114.90,112.23,114.34,11096
2023-01-10T00:00:00Z,114.34,116.53,113.71,115.90,11233
2023-01-11T00:00:00Z,115.90,116.25,103.59,103.94,11370
2023-01-12T00:00:00Z,103.94,105.92,103.52,105.50,11507
2023-01-13T00:00:00Z,105.50,107.53,105.01,107.05,11644
2023-01-14T00:00:00Z,107.05,109.16,106.48,108.59,11781
2023-01-15T00:00:00Z,108.59,110.78,107.97,110.15,11918
2023-01-16T00:00:00Z,110.15,112.04,109.80,111.69,12055
2023-01-17T00:00:00Z,111.69,113.67,111.27,113.25,12192
2023-01-18T00:00:00Z,113.25,115.28,112.76,114.80,12329
2023-01-19T00:00:00Z,114.80,116.91,114.23,116.34,12466
2023-01-20T00:00:00Z,116.34,118.52,115.72,117.89,12603
2023-01-21T00:00:00Z,117.89,118.24,105.60,105.95,12740
2023-01-22T00:00:00Z,105.95,107.92,105.53,107.50,12877
2023-01-23T00:00:00Z,107.50,109.53,107.01,109.05,13014
2023-01-24T00:00:00Z,109.05,109.61,105.89,106.45,13151
2023-01-25T00:00:00Z,106.45,108.64,105.82,108.01,13288
2023-01-26T00:00:00Z,108.01,109.90,107.66,109.55,13425
2023-01-27T00:00:00Z,109.55,111.53,109.13,111.11,13562
2023-01-28T00:00:00Z,111.11,113.14,110.62,112.66,13699
2023-01-29T00:00:00Z,112.66,114.77,112.09,114.20,13836
2023-01-30T00:00:00Z,114.20,116.38,113.58,115.75,13973
2023-01-31T00:00:00Z,115.75,116.10,103.45,103.80,14110
2023-02-01T00:00:00Z,103.80,105.78,103.38,105.36,14247
2023-02-02T00:00:00Z,105.36,107.39,104.87,106.91,14384
2023-02-03T00:00:00Z,106.91,109.01,106.34,108.45,14521
2023-02-04T00:00:00Z,108.45,110.64,107.82,110.01,14658
2023-02-05T00:00:00Z,110.01,111.91,109.66,111.56,14795
2023-02-06T00:00:00Z,111.56,113.53,111.14,113.11,14932
2023-02-07T00:00:00Z,113.11,115.14,112.62,114.66,15069
2023-02-08T00:00:00Z,114.66,116.77,114.09,116.20,15206
2023-02-09T00:00:00Z,116.20,118.39,115.58,117.76,15343
2023-02-10T00:00:00Z,117.76,118.11,105.45,105.80,15480
2023-02-11T00:00:00Z,105.80,107.78,105.38,107.36,15617
2023-02-12T00:00:00Z,107.36,109.39,106.87,108.91,15754
2023-02-13T00:00:00Z,108.91,111.02,108.34,110.45,15891
2023-02-14T00:00:00Z,110.45,112.63,109.83,112.00,16028
2023-02-15T00:00:00Z,112.00,113.91,111.66,113.56,16165
2023-02-16T00:00:00Z,113.56,113.98,110.55,110.97,16302
2023-02-17T00:00:00Z,110.97,113.00,110.48,112.52,16439
2023-02-18T00:00:00Z,112.52,114.62,111.95,114.06,16576
2023-02-19T00:00:00Z,114.06,116.25,113.43,115.62,16713
2023-02-20T00:00:00Z,115.62,115.97,103.31,103.66,16850
2023-02-21T00:00:00Z,103.66,105.64,103.24,105.22,16987
2023-02-22T00:00:00Z,105.22,107.25,104.73,106.77,10124
2023-02-23T00:00:00Z,106.77,108.88,106.20,108.31,10261
2023-02-24T00:00:00Z,108.31,110.49,107.69,109.86,10398
2023-02-25T00:00:00Z,109.86,111.76,109.52,111.41,10535
2023-02-26T00:00:00Z,111.41,113.39,110.99,112.97,10672
2023-02-27T00:00:00Z,112.97,115.00,112.48,114.52,10809
2023-02-28T00:00:00Z,114.52,116.62,113.95,116.06,10946
2023-03-01T00:00:00Z,116.06,118.25,115.44,117.62,11083
2023-03-02T00:00:00Z,117.62,117.97,105.32,105.67,11220
2023-03-03T00:00:00Z,105.67,107.64,105.25,107.22,11357
2023-03-04T00:00:00Z,107.22,109.25,106.73,108.77,11494
2023-03-05T00:00:00Z,108.77,110.88,108.20,110.31,11631
2023-03-06T00:00:00Z,110.31,112.50,109.69,111.87,11768
2023-03-07T00:00:00Z,111.87,113.76,111.52,113.41,11905
2023-03-08T00:00:00Z,113.41,115.39,112.99,114.97,12042
2023-03-09T00:00:00Z,114.97,117.00,114.48,116.52,12179
2023-03-10T00:00:00Z,116.52,118.62,115.95,118.06,12316
2023-03-11T00:00:00Z,118.06,118.69,114.84,115.47,12453
2023-03-12T00:00:00Z,115.47,115.82,103.18,103.53,12590
2023-03-13T00:00:00Z,103.53,105.50,103.11,105.08,12727
2023-03-14T00:00:00Z,105.08,107.11,104.59,106.62,12864
2023-03-15T00:00:00Z,106.62,108.73,106.06,108.17,13001
2023-03-16T00:00:00Z,108.17,110.36,107.54,109.73,13138
2023-03-17T00:00:00Z,109.73,111.62,109.38,111.27,13275
2023-03-18T00:00:00Z,111.27,113.25,110.85,112.83,13412
2023-03-19T00:00:00Z,112.83,114.86,112.34,114.38,13549
2023-03-20T00:00:00Z,114.38,116.48,113.81,115.92,13686
2023-03-21T00:00:00Z,115.92,118.10,115.30,117.47,13823
2023-03-22T00:00:00Z,117.47,117.82,105.17,105.52,13960
2023-03-23T00:00:00Z,105.52,107.50,105.10,107.08,14097
2023-03-24T00:00:00Z,107.08,109.11,106.59,108.62,14234
2023-03-25T00:00:00Z,108.62,110.73,108.06,110.17,14371
2023-03-26T00:00:00Z,110.17,112.36,109.55,111.73,14508
2023-03-27T00:00:00Z,111.73,113.62,111.38,113.28,14645
2023-03-28T00:00:00Z,113.28,115.25,112.86,114.83,14782
2023-03-29T00:00:00Z,114.83,116.86,114.34,116.38,14919
2023-03-30T00:00:00Z,116.38,118.48,115.81,117.92,15056
2023-03-31T00:00:00Z,117.92,120.11,117.30,119.48,15193
2023-04-01T00:00:00Z,119.48,119.83,107.17,107.52,15330
2023-04-02T00:00:00Z,107.52,109.50,107.10,109.08,15467
2023-04-03T00:00:00Z,109.08,109.56,106.00,106.48,15604
2023-04-04T00:00:00Z,106.48,108.59,105.92,108.03,15741
2023-04-05T00:00:00Z,108.03,110.21,107.41,109.58,15878
2023-04-06T00:00:00Z,109.58,111.48,109.23,111.14,16015
2023-04-07T00:00:00Z,111.14,113.11,110.72,112.69,16152
2023-04-08T00:00:00Z,112.69,114.72,112.20,114.23,16289
2023-04-09T00:00:00Z,114.23,116.34,113.67,115.78,16426
2023-04-10T00:00:00Z,115.78,117.97,115.15,117.34,16563
2023-04-11T00:00:00Z,117.34,117.69,105.03,105.38,16700
2023-04-12T00:00:00Z,105.38,107.36,104.96,106.94,16837
2023-04-13T00:00:00Z,106.94,108.97,106.45,108.48,16974
2023-04-14T00:00:00Z,108.48,110.59,107.92,110.03,10111
2023-04-15T00:00:00Z,110.03,112.22,109.41,111.59,10248
2023-04-16T00:00:00Z,111.59,113.48,111.24,113.13,10385
2023-04-17T00:00:00Z,113.13,115.11,112.71,114.69,10522
2023-04-18T00:00:00Z,114.69,116.72,114.20,116.23,10659
2023-04-19T00:00:00Z,116.23,118.34,115.67,117.78,10796
2023-04-20T00:00:00Z,117.78,119.97,117.16,119.34,10933
2023-04-21T00:00:00Z,119.34,119.69,107.04,107.39,11070
2023-04-22T00:00:00Z,107.39,109.36,106.97,108.94,11207
2023-04-23T00:00:00Z,108.94,110.97,108.45,110.48,11344
2023-04-24T00:00:00Z,110.48,112.59,109.92,112.03,11481
2023-04-25T00:00:00Z,112.03,114.22,111.41,113.59,11618
2023-04-26T00:00:00Z,113.59,113.94,110.64,110.99,11755
2023-04-27T00:00:00Z,110.99,112.97,110.57,112.55,11892
2023-04-28T00:00:00Z,112.55,114.58,112.06,114.09,12029
2023-04-29T00:00:00Z,114.09,116.20,113.53,115.64,12166
2023-04-30T00:00:00Z,115.64,117.82,115.02,117.19,12303
